COUNTY_NAME,POPULATION,STATE
"LYNN COUNTY, TX",5915,TX
"MCCULLOCH COUNTY, TX",8283,TX
"MCLENNAN COUNTY, TX",234906,TX
"MCMULLEN COUNTY, TX",707,TX
"MADISON COUNTY, TX",13664,TX
"MARION COUNTY, TX",10546,TX
"MARTIN COUNTY, TX",4799,TX
"MASON COUNTY, TX",4012,TX
"MATAGORDA COUNTY, TX",36702,TX
"MAVERICK COUNTY, TX",54258,TX
"MEDINA COUNTY, TX",46006,TX
"MENARD COUNTY, TX",2242,TX
"MIDLAND COUNTY, TX",136872,TX
"MILAM COUNTY, TX",24757,TX
"MILLS COUNTY, TX",4936,TX
"MITCHELL COUNTY, TX",9403,TX
"MONTAGUE COUNTY, TX",19719,TX
"MONTGOMERY COUNTY, TX",455746,TX
"MOORE COUNTY, TX",21904,TX
"MORRIS COUNTY, TX",12934,TX
"MOTLEY COUNTY, TX",1210,TX
"NACOGDOCHES COUNTY, TX",64524,TX
"NAVARRO COUNTY, TX",47735,TX
"NEWTON COUNTY, TX",14445,TX
"NOLAN COUNTY, TX",15216,TX
"NUECES COUNTY, TX",340223,TX
"OCHILTREE COUNTY, TX",10223,TX
"OLDHAM COUNTY, TX",2052,TX
"ORANGE COUNTY, TX",81837,TX
"PALO PINTO COUNTY, TX",28111,TX
"PANOLA COUNTY, TX",23796,TX
"PARKER COUNTY, TX",116927,TX
"PARMER COUNTY, TX",10269,TX
"PECOS COUNTY, TX",15507,TX
"POLK COUNTY, TX",45413,TX
"POTTER COUNTY, TX",121073,TX
"PRESIDIO COUNTY, TX",7818,TX
"RAINS COUNTY, TX",10914,TX
"RANDALL COUNTY, TX",120725,TX
"REAGAN COUNTY, TX",3367,TX
"REAL COUNTY, TX",3309,TX
"RED RIVER COUNTY, TX",12860,TX
"REEVES COUNTY, TX",13783,TX
"REFUGIO COUNTY, TX",7383,TX
"ROBERTS COUNTY, TX",929,TX
"ROBERTSON COUNTY, TX",16622,TX
"ROCKWALL COUNTY, TX",78337,TX
"RUNNELS COUNTY, TX",10501,TX
"RUSK COUNTY, TX",53330,TX
"SABINE COUNTY, TX",10834,TX
"SAN AUGUSTINE COUNTY, TX",8865,TX
"SAN JACINTO COUNTY, TX",26384,TX
"SAN PATRICIO COUNTY, TX",64804,TX
"SAN SABA COUNTY, TX",6131,TX
"SCHLEICHER COUNTY, TX",3461,TX
"SCURRY COUNTY, TX",16921,TX
"SHACKELFORD COUNTY, TX",3378,TX
"SHELBY COUNTY, TX",25448,TX
"SHERMAN COUNTY, TX",3034,TX
"SMITH COUNTY, TX",209714,TX
"SOMERVELL COUNTY, TX",8490,TX
"STARR COUNTY, TX",60968,TX
"STEPHENS COUNTY, TX",9630,TX
"STERLING COUNTY, TX",1143,TX
"STONEWALL COUNTY, TX",1490,TX
"SUTTON COUNTY, TX",4128,TX
"SWISHER COUNTY, TX",7854,TX
"TARRANT COUNTY, TX",1809034,TX
"TAYLOR COUNTY, TX",131506,TX
"TERRELL COUNTY, TX",984,TX
"TERRY COUNTY, TX",12651,TX
"THROCKMORTON COUNTY, TX",1641,TX
"TITUS COUNTY, TX",32334,TX
"TOM GREEN COUNTY, TX",110224,TX
"TRAVIS COUNTY, TX",1024266,TX
"TRINITY COUNTY, TX",14585,TX
"TYLER COUNTY, TX",21766,TX
"UPSHUR COUNTY, TX",39309,TX
"UPTON COUNTY, TX",3355,TX
"UVALDE COUNTY, TX",26405,TX
"VAL VERDE COUNTY, TX",48879,TX
"VAN ZANDT COUNTY, TX",52579,TX
"VICTORIA COUNTY, TX",86793,TX
"WALKER COUNTY, TX",67861,TX
"WALLER COUNTY, TX",43205,TX
"WARD COUNTY, TX",10658,TX
"WASHINGTON COUNTY, TX",33718,TX
"WEBB COUNTY, TX",250304,TX
"WHARTON COUNTY, TX",41280,TX
"WHEELER COUNTY, TX",5410,TX
"WICHITA COUNTY, TX",131500,TX
"WILBARGER COUNTY, TX",13535,TX
"WILLACY COUNTY, TX",22134,TX
"WILLIAMSON COUNTY, TX",422679,TX
"WILSON COUNTY, TX",42918,TX
"WINKLER COUNTY, TX",7110,TX
"WISE COUNTY, TX",59127,TX
"WOOD COUNTY, TX",41964,TX
"YOAKUM COUNTY, TX",7879,TX
"YOUNG COUNTY, TX",18550,TX
"ZAPATA COUNTY, TX",14018,TX
"ZAVALA COUNTY, TX",11677,TX
"ADAMS COUNTY, WA",18728,WA
"ASOTIN COUNTY, WA",21623,WA
"BENTON COUNTY, WA",175177,WA
"CHELAN COUNTY, WA",72453,WA
"CLALLAM COUNTY, WA",71404,WA
"CLARK COUNTY, WA",425363,WA
"COLUMBIA COUNTY, WA",4078,WA
"COWLITZ COUNTY, WA",102410,WA
"DOUGLAS COUNTY, WA",38431,WA
"FERRY COUNTY, WA",7551,WA
"FRANKLIN COUNTY, WA",78163,WA
"GARFIELD COUNTY, WA",2266,WA
"GRANT COUNTY, WA",89120,WA
"GRAYS HARBOR COUNTY, WA",72797,WA
"ISLAND COUNTY, WA",78506,WA
"JEFFERSON COUNTY, WA",29872,WA
"KING COUNTY, WA",1931249,WA
"KITSAP COUNTY, WA",251133,WA
"KITTITAS COUNTY, WA",40915,WA
"KLICKITAT COUNTY, WA",20318,WA
"LEWIS COUNTY, WA",75455,WA
"LINCOLN COUNTY, WA",10570,WA
"MASON COUNTY, WA",60699,WA
"OKANOGAN COUNTY, WA",41120,WA
"PACIFIC COUNTY, WA",20920,WA
"PEND OREILLE COUNTY, WA",13001,WA
"PIERCE COUNTY, WA",795225,WA
"SAN JUAN COUNTY, WA",15769,WA
"SKAGIT COUNTY, WA",116901,WA
"SKAMANIA COUNTY, WA",11066,WA
"SNOHOMISH COUNTY, WA",713335,WA
"SPOKANE COUNTY, WA",471221,WA
"STEVENS COUNTY, WA",43531,WA
"THURSTON COUNTY, WA",252264,WA
"WAHKIAKUM COUNTY, WA",3978,WA
"WALLA WALLA COUNTY, WA",58781,WA
"WHATCOM COUNTY, WA",201140,WA
"WHITMAN COUNTY, WA",44776,WA
"YAKIMA COUNTY, WA",243231,WA
